series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
38449,Choujigen Kakumei Anime: Dimension High School,TV,11,0,5,0000-00-00,0000-00-00,,5,,0.00,Dropped, #divertido #mas n vale meu tempo,0,,LOW,,0,0,1,default,0
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
18671,Chuunibyou demo Koi ga Shitai! Ren,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,2018-12-12,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,25,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35756,Comic Girls,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38940,Cop Craft,TV,12,0,1,0000-00-00,0000-00-00,,4,,0.00,Dropped,"maçante e genérico, arrisca tentando fazer uma critica ao preconceito racial (muito legal, inclusive), mas acaba só usando como desculpa pra jogar uma personagem ""badass"" e forçada #maçante e genérico #arrisca tentando fazer uma critica ao preconceito racial (muito legal #inclusive) #mas acaba só usando como desculpa pra jogar uma personagem ""badass"" e forçada",0,,LOW,,0,0,1,default,0
514,Cossette no Shouzou,OVA,3,0,3,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,24,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38656,Darwin's Game,TV,11,0,3,0000-00-00,0000-00-00,,1,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
1535,Death Note,TV,37,0,37,0000-00-00,0000-00-00,,7,,0.00,Completed,,3,,LOW,,0,0,1,default,0
40056,Deca-Dence,TV,12,0,4,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
35120,Devilman: Crybaby,ONA,10,0,10,0000-00-00,0000-00-00,,10,,0.00,Completed,,3,,LOW,,0,0,1,default,0
37982,Domestic na Kanojo,TV,12,0,8,0000-00-00,0000-00-00,,3,,0.00,Dropped," #romance mixuruca dirigido pela Beatriz Sheridan
",0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,8,0000-00-00,0000-00-00,,3,,0.00,Dropped, #maçante com uma proposta bem tanto faz,0,,LOW,,0,0,1,default,0
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
